action,utterance,state,count
jump_over,pro,agent_falls,22
jump_over,pro,patient_falls,20
jump_over,zero,agent_falls,50
jump_over,zero,patient_falls,0
wave,pro,agent_falls,16
wave,pro,patient_falls,22
wave,zero,agent_falls,47
wave,zero,patient_falls,7
attack,pro,agent_falls,17
attack,pro,patient_falls,33
attack,zero,agent_falls,41
attack,zero,patient_falls,1
throw_rock,pro,agent_falls,10
throw_rock,pro,patient_falls,34
throw_rock,zero,agent_falls,28
throw_rock,zero,patient_falls,8
overall,pro,agent_falls,65
overall,pro,patient_falls,109
overall,zero,agent_falls,176
overall,zero,patient_falls,16
