action,utterance,state,count
jump_over,pro,agent_falls,60
jump_over,pro,patient_falls,10
jump_over,zero,agent_falls,97
jump_over,zero,patient_falls,4
wave,pro,agent_falls,42
wave,pro,patient_falls,22
wave,zero,agent_falls,75
wave,zero,patient_falls,8
attack,pro,agent_falls,56
attack,pro,patient_falls,33
attack,zero,agent_falls,74
attack,zero,patient_falls,10
throw_rock,pro,agent_falls,34
throw_rock,pro,patient_falls,35
throw_rock,zero,agent_falls,78
throw_rock,zero,patient_falls,17
overall,pro,agent_falls,199
overall,pro,patient_falls,100
overall,zero,agent_falls,324
overall,zero,patient_falls,39
