"action","utterance","state","count"
"jump_over","pro","agent_falls",7
"jump_over","pro","patient_falls",4
"jump_over","zero","agent_falls",74
"jump_over","zero","patient_falls",2
"wave","pro","agent_falls",7
"wave","pro","patient_falls",7
"wave","zero","agent_falls",62
"wave","zero","patient_falls",7
"attack","pro","agent_falls",6
"attack","pro","patient_falls",19
"attack","zero","agent_falls",69
"attack","zero","patient_falls",8
"throw_rock","pro","agent_falls",3
"throw_rock","pro","patient_falls",22
"throw_rock","zero","agent_falls",59
"throw_rock","zero","patient_falls",4
"overall","pro","agent_falls",23
"overall","pro","patient_falls",52
"overall","zero","agent_falls",264
"overall","zero","patient_falls",21
