"action","state","utterance","count"
"jump_over","agent_falls","zero",11
"jump_over","agent_falls","pro",4
"jump_over","agent_falls","np",3
"jump_over","patient_falls","zero",0
"jump_over","patient_falls","pro",0
"jump_over","patient_falls","np",9
"wave","agent_falls","zero",9
"wave","agent_falls","pro",6
"wave","agent_falls","np",0
"wave","patient_falls","zero",0
"wave","patient_falls","pro",1
"wave","patient_falls","np",18
"attack","agent_falls","zero",15
"attack","agent_falls","pro",4
"attack","agent_falls","np",3
"attack","patient_falls","zero",0
"attack","patient_falls","pro",1
"attack","patient_falls","np",4
"throw_rock","agent_falls","zero",3
"throw_rock","agent_falls","pro",3
"throw_rock","agent_falls","np",9
"throw_rock","patient_falls","zero",0
"throw_rock","patient_falls","pro",0
"throw_rock","patient_falls","np",6
"overall","agent_falls","zero",38
"overall","agent_falls","pro",17
"overall","agent_falls","np",15
"overall","patient_falls","zero",0
"overall","patient_falls","pro",2
"overall","patient_falls","np",37
