"action","state","utterance","count"
"jump_over","agent_falls","zero",36
"jump_over","agent_falls","pro",12
"jump_over","agent_falls","np",51
"jump_over","patient_falls","zero",1
"jump_over","patient_falls","pro",0
"jump_over","patient_falls","np",92
"wave","agent_falls","zero",31
"wave","agent_falls","pro",17
"wave","agent_falls","np",52
"wave","patient_falls","zero",3
"wave","patient_falls","pro",2
"wave","patient_falls","np",90
"attack","agent_falls","zero",17
"attack","agent_falls","pro",7
"attack","agent_falls","np",41
"attack","patient_falls","zero",1
"attack","patient_falls","pro",4
"attack","patient_falls","np",46
"throw_rock","agent_falls","zero",10
"throw_rock","agent_falls","pro",8
"throw_rock","agent_falls","np",87
"throw_rock","patient_falls","zero",0
"throw_rock","patient_falls","pro",5
"throw_rock","patient_falls","np",86
"overall","agent_falls","zero",94
"overall","agent_falls","pro",44
"overall","agent_falls","np",231
"overall","patient_falls","zero",5
"overall","patient_falls","pro",11
"overall","patient_falls","np",314
