"action","utterance","state","count"
"jump_over","pro","agent_falls",15
"jump_over","pro","patient_falls",20
"jump_over","zero","agent_falls",57
"jump_over","zero","patient_falls",0
"wave","pro","agent_falls",9
"wave","pro","patient_falls",23
"wave","zero","agent_falls",54
"wave","zero","patient_falls",6
"attack","pro","agent_falls",12
"attack","pro","patient_falls",31
"attack","zero","agent_falls",46
"attack","zero","patient_falls",3
"throw_rock","pro","agent_falls",9
"throw_rock","pro","patient_falls",34
"throw_rock","zero","agent_falls",39
"throw_rock","zero","patient_falls",8
"overall","pro","agent_falls",45
"overall","pro","patient_falls",108
"overall","zero","agent_falls",196
"overall","zero","patient_falls",17
