"action","utterance","state","count"
"jump_over","pro","agent_falls",10
"jump_over","pro","patient_falls",8
"jump_over","zero","agent_falls",147
"jump_over","zero","patient_falls",6
"wave","pro","agent_falls",17
"wave","pro","patient_falls",19
"wave","zero","agent_falls",107
"wave","zero","patient_falls",11
"attack","pro","agent_falls",11
"attack","pro","patient_falls",30
"attack","zero","agent_falls",119
"attack","zero","patient_falls",13
"throw_rock","pro","agent_falls",6
"throw_rock","pro","patient_falls",38
"throw_rock","zero","agent_falls",106
"throw_rock","zero","patient_falls",14
"overall","pro","agent_falls",44
"overall","pro","patient_falls",95
"overall","zero","agent_falls",479
"overall","zero","patient_falls",44
