"action","state","utterance","count"
"jump_over","agent_falls","zero",47
"jump_over","agent_falls","pro",13
"jump_over","agent_falls","np",24
"jump_over","patient_falls","zero",4
"jump_over","patient_falls","pro",2
"jump_over","patient_falls","np",68
"wave","agent_falls","zero",28
"wave","agent_falls","pro",20
"wave","agent_falls","np",44
"wave","patient_falls","zero",0
"wave","patient_falls","pro",2
"wave","patient_falls","np",87
"attack","agent_falls","zero",41
"attack","agent_falls","pro",12
"attack","agent_falls","np",34
"attack","patient_falls","zero",1
"attack","patient_falls","pro",8
"attack","patient_falls","np",58
"throw_rock","agent_falls","zero",7
"throw_rock","agent_falls","pro",9
"throw_rock","agent_falls","np",78
"throw_rock","patient_falls","zero",1
"throw_rock","patient_falls","pro",5
"throw_rock","patient_falls","np",72
"overall","agent_falls","zero",123
"overall","agent_falls","pro",54
"overall","agent_falls","np",180
"overall","patient_falls","zero",6
"overall","patient_falls","pro",17
"overall","patient_falls","np",285
