"action","state","utterance","count"
"jump_over","agent_falls","zero",17
"jump_over","agent_falls","pro",4
"jump_over","agent_falls","np",10
"jump_over","patient_falls","zero",0
"jump_over","patient_falls","pro",0
"jump_over","patient_falls","np",28
"wave","agent_falls","zero",13
"wave","agent_falls","pro",6
"wave","agent_falls","np",11
"wave","patient_falls","zero",1
"wave","patient_falls","pro",1
"wave","patient_falls","np",27
"attack","agent_falls","zero",7
"attack","agent_falls","pro",3
"attack","agent_falls","np",9
"attack","patient_falls","zero",0
"attack","patient_falls","pro",4
"attack","patient_falls","np",11
"throw_rock","agent_falls","zero",7
"throw_rock","agent_falls","pro",2
"throw_rock","agent_falls","np",24
"throw_rock","patient_falls","zero",0
"throw_rock","patient_falls","pro",2
"throw_rock","patient_falls","np",25
"overall","agent_falls","zero",44
"overall","agent_falls","pro",15
"overall","agent_falls","np",54
"overall","patient_falls","zero",1
"overall","patient_falls","pro",7
"overall","patient_falls","np",91
