"action","state","utterance","count"
"jump_over","agent_falls","zero",12
"jump_over","agent_falls","pro",4
"jump_over","agent_falls","np",20
"jump_over","patient_falls","zero",1
"jump_over","patient_falls","pro",0
"jump_over","patient_falls","np",34
"wave","agent_falls","zero",10
"wave","agent_falls","pro",5
"wave","agent_falls","np",20
"wave","patient_falls","zero",0
"wave","patient_falls","pro",1
"wave","patient_falls","np",32
"attack","agent_falls","zero",5
"attack","agent_falls","pro",1
"attack","agent_falls","np",17
"attack","patient_falls","zero",1
"attack","patient_falls","pro",0
"attack","patient_falls","np",19
"throw_rock","agent_falls","zero",2
"throw_rock","agent_falls","pro",3
"throw_rock","agent_falls","np",30
"throw_rock","patient_falls","zero",0
"throw_rock","patient_falls","pro",1
"throw_rock","patient_falls","np",31
"overall","agent_falls","zero",29
"overall","agent_falls","pro",13
"overall","agent_falls","np",87
"overall","patient_falls","zero",2
"overall","patient_falls","pro",2
"overall","patient_falls","np",116
