"action","state","utterance","count"
"jump_over","agent_falls","zero",7
"jump_over","agent_falls","pro",4
"jump_over","agent_falls","np",21
"jump_over","patient_falls","zero",0
"jump_over","patient_falls","pro",0
"jump_over","patient_falls","np",30
"wave","agent_falls","zero",8
"wave","agent_falls","pro",6
"wave","agent_falls","np",21
"wave","patient_falls","zero",2
"wave","patient_falls","pro",0
"wave","patient_falls","np",31
"attack","agent_falls","zero",5
"attack","agent_falls","pro",3
"attack","agent_falls","np",15
"attack","patient_falls","zero",0
"attack","patient_falls","pro",0
"attack","patient_falls","np",16
"throw_rock","agent_falls","zero",1
"throw_rock","agent_falls","pro",3
"throw_rock","agent_falls","np",33
"throw_rock","patient_falls","zero",0
"throw_rock","patient_falls","pro",2
"throw_rock","patient_falls","np",30
"overall","agent_falls","zero",21
"overall","agent_falls","pro",16
"overall","agent_falls","np",90
"overall","patient_falls","zero",2
"overall","patient_falls","pro",2
"overall","patient_falls","np",107
