action,state,utterance,count
jump_over,agent_falls,np,27
jump_over,agent_falls,pro,17
jump_over,agent_falls,zero,58
jump_over,patient_falls,np,77
jump_over,patient_falls,pro,2
jump_over,patient_falls,zero,4
wave,agent_falls,np,44
wave,agent_falls,pro,26
wave,agent_falls,zero,37
wave,patient_falls,np,105
wave,patient_falls,pro,3
wave,patient_falls,zero,0
attack,agent_falls,np,37
attack,agent_falls,pro,16
attack,agent_falls,zero,56
attack,patient_falls,np,62
attack,patient_falls,pro,9
attack,patient_falls,zero,1
throw_rock,agent_falls,np,87
throw_rock,agent_falls,pro,12
throw_rock,agent_falls,zero,10
throw_rock,patient_falls,np,78
throw_rock,patient_falls,pro,5
throw_rock,patient_falls,zero,1
overall,agent_falls,np,205
overall,agent_falls,pro,79
overall,agent_falls,zero,161
overall,patient_falls,np,383
overall,patient_falls,pro,69
overall,patient_falls,zero,7
